locality,year,price,total_taxable_income,num_taxable_income,taxable_income_per_person,num_tax_payers,total_tax,tax_per_person,num_salary_earners,total_salary,salary_per_person,postcode
TERANG,2021,294000,84141810,1437,58553.79958246346,1197,17089880,14277.259816207184,1085,58869159,54257.28940092166,3264
THE BASIN,2021,810000,178423132,2669,66850.18059198202,2239,38371107,17137.609200535953,2191,148051302,67572.47923322684,3154
THE HONEYSUCKLES,2021,444000,,,,,,,,,,
THE PATCH,2021,740000,45548084,638,71391.98119122257,525,10548565,20092.504761904762,464,32860447,70819.92887931035,3792
THOMASTOWN,2021,650000,538443090,10220,52685.23385518591,8464,97360092,11502.84640831758,8325,455352817,54697.03507507507,3074
THOMSON (GREATER GEELONG),2021,426000,,,,,,,,,,
THORNBURY,2021,1300000,961197509,11788,81540.33839497794,10452,229951849,22000.750956754688,10158,795527268,78315.34435912581,3071
THORNHILL PARK,2021,612500,,,,,,,,,,
TIMBOON,2021,380000,,,,,,,,,,
TONGALA,2021,207000,69741026,1354,51507.40473,1113,12940095,11626.32075471698,1090,57414376,52673.73944954128,3621
TOONGABBIE,2021,447500,759709642,11682,65032.49803115905,9860,158059398,16030.36490872211,10165,696317297,68501.45568125922,2146
TOORA,2021,323500,504978698,10154,49731.99704549931,8532,86952042,10191.284810126583,8023,407177403,50751.265486725664,5253
TOORADIN,2021,672500,131503797,2112,62265.05539772727,1820,26492691,14556.423626373626,1720,106748963,62063.350581395345,3980
TOORAK,2021,5800000,2537826130,9371,270817.00245438056,8134,967095390,118895.42537496926,5720,652711458,114110.39475524475,3142
TOOTGAROOK,2021,748000,479712003,7557,63479.15879,6116,107316856,17546.902550686722,5148,311363920,60482.50194250194,3941
TORQUAY,2021,1000000,1919260958,34340,55889.95218404193,27957,377993779,13520.541510176343,25508,1458093544,57162.20573937588,4655
TRAFALGAR,2021,400000,203430077,3122,65160.17841127482,2568,45189772,17597.26323987539,2457,155873022,63440.383394383396,3824
TRARALGON,2021,368500,,,,,,,,,,
TRARALGON EAST,2021,685000,1248406591,18198,68601.30734146609,15649,271842074,17371.210556585087,15330,1066374330,69561.27397260274,3844
TRAVANCORE,2021,1550000,1627561339,19444,83705.06783583625,16842,404704862,24029.501365633536,16464,1296118633,78724.40676627794,3032
TRENTHAM,2021,770000,92466307,1384,66810.91546242774,1095,21343097,19491.41278538813,928,66884638,72073.96336206897,3458
TRUGANINA,2021,600000,4619013832,78627,58745.89939842548,66840,890718563,13326.130505685218,67350,4161059645,61782.62279138827,3029
TULLAMARINE,2021,700000,619511796,9976,62100.22012830794,8453,125316355,14825.07452975275,8228,534584916,64971.428779776375,3043
TYABB,2021,600000,149975000,2230,67253.36322869956,1862,33475098,17978.03329752954,1711,107686623,62937.82759,3913
UPPER FERNTREE GULLY,2021,737000,1601486177,23643,67736.16618026477,20075,347731645,17321.62615193026,19726,1333084832,67580.08881679003,3156
UPWEY,2021,822500,289674003,4266,67902.95428973278,3558,63110618,17737.666666666668,3527,249059157,70615.01474,3158
VENTNOR,2021,655000,299525857,5509,54370.27718,4396,59163863,13458.567561419472,3847,206551759,53691.645178060826,3922
VENUS BAY,2021,478000,91761108,1630,56295.15828220859,1272,19503165,15332.676886792453,1017,54985665,54066.53392330383,3956
VERMONT,2021,1000000,977333160,14025,69685.07379679145,11172,225891935,20219.471446473326,10445,760437244,72803.94868358066,3133
VERMONT SOUTH,2021,1300000,977333160,14025,69685.07379679145,11172,225891935,20219.471446473326,10445,760437244,72803.94868358066,3133
VIEWBANK,2021,1099000,1508014256,16695,90327.29895178197,14080,395694688,28103.31590909091,12948,1101123305,85041.96053444548,3084
VIOLET TOWN,2021,290000,42633615,801,53225.486891385764,607,8765254,14440.28665568369,513,29048277,56624.32164,3669
WAHGUNYAH,2021,365000,37210225,633,58783.92575039494,540,7298692,13516.096296296297,503,30097017,59835.02385685885,3687
WALKERVILLE,2021,449000,757523319,6519,116202.38057984354,5663,227169493,40114.69062334452,4608,375825656,81559.38715277778,5081
WALLAN,2021,550000,612806848,9720,63045.97202,8525,122972780,14424.959530791788,8378,536718891,64062.88983050847,3756
WALLAN EAST,2021,555000,,,,,,,,,,
WANDANA HEIGHTS,2021,925000,2461593846,36333,67750.91090743952,30522,543923665,17820.70850534041,29467,1939279193,65811.89781789799,3216
WANDIN NORTH,2021,702000,554614943,8835,62774.753027730614,7535,115765717,15363.731519575314,7082,429988223,60715.64854560859,3139
WANGARATTA,2021,383000,134067491,2208,60718.97237318841,1899,26890244,14160.212743549237,1705,102264160,59978.97947214076,4806
WANTIRNA,2021,1020000,1411364530,21669,65132.887073699756,17538,307821859,17551.708233550005,16912,1161278284,68665.93448438979,3152
WANTIRNA SOUTH,2021,1078000,1411364530,21669,65132.887073699756,17538,307821859,17551.708233550005,16912,1161278284,68665.93448438979,3152
WARBURTON,2021,590000,41579582,502,82827.85258964144,431,11373388,26388.371229698376,369,20950627,56776.766937669374,4823
WARNEET,2021,580000,131503797,2112,62265.05539772727,1820,26492691,14556.423626373626,1720,106748963,62063.350581395345,3980
WARRACKNABEAL,2021,182500,93603575,1425,65686.71929824562,1198,21270812,17755.26878130217,1028,52274205,50850.39397,3393
WARRAGUL,2021,540000,790514595,12234,64616.20034330554,10321,168175413,16294.488227884895,9800,620488066,63315.108775510205,3820
WARRANDYTE,2021,1018000,531490250,5502,96599.46383133405,4566,147412942,32284.9194,4082,330609774,80992.10534051935,3113
WARRANWOOD,2021,1050000,1580982536,21432,73767.38223217618,17968,369520579,20565.481912288513,17409,1259698083,72359.01447527141,3134
WARRNAMBOOL,2021,450000,1252517270,20507,61077.54766665041,17606,254517984,14456.320799727366,16678,967409751,58005.14156373666,3280
WATERWAYS,2021,1560500,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
WATSONIA,2021,805000,378124244,5339,70823.04626,4539,82924012,18269.22493941397,4402,326624746,74199.16992276238,3087
WATSONIA NORTH,2021,1070000,378124244,5339,70823.04626,4539,82924012,18269.22493941397,4402,326624746,74199.16992276238,3087
WATTLE GLEN,2021,826000,87292529,1213,71964.16240725474,1023,20061074,19610.043010752688,961,67146960,69871.96670135275,3096
WAURN PONDS,2021,718000,2461593846,36333,67750.91090743952,30522,543923665,17820.70850534041,29467,1939279193,65811.89781789799,3216
WEDDERBURN,2021,155000,2651171554,44737,59261.27263786128,38030,515911250,13565.901919537208,38857,2393716927,61603.23563321924,2560
WEIR VIEWS,2021,530000,,,,,,,,,,
WENDOUREE,2021,416500,367141146,6462,56815.40482822656,5400,72925631,13504.746481481481,5220,291650589,55871.760344827584,3355
WENDOUREE WEST,2021,326000,,,,,,,,,,
WERRIBEE,2021,531000,5074195666,72177,70302.11377585657,62045,1121254999,18071.641534370214,62010,4403558129,71013.67729398485,3030
WERRIBEE SOUTH,2021,810000,5074195666,72177,70302.11377585657,62045,1121254999,18071.641534370214,62010,4403558129,71013.67729398485,3030
WEST FOOTSCRAY,2021,930000,1225864394,17039,71944.62081108046,14951,268053312,17928.788174704034,15005,1094898742,72968.92649116961,3012
WEST MELBOURNE,2021,1310000,420393622,5911,71120.55861952293,4946,97060203,19623.979579458148,5297,363112069,68550.51330942042,3003
WEST WODONGA,2021,407000,1216872930,20652,58922.764381173736,17772,236083825,13284.032466801711,17337,1015169487,58555.08375,3690
WESTALL,2021,760000,,,,,,,,,,
WESTGARTH,2021,1725000,,,,,,,,,,
WESTMEADOWS,2021,660000,373844433,5825,64179.30180257511,4997,77099323,15429.122073243947,4934,327057426,66286.46655857317,3049
WHEELERS HILL,2021,1331000,2831328954,39124,72368.08490951845,30631,694715527,22680.145179719893,27492,1957187112,71191.15058926232,3150
WHITE HILLS,2021,400000,59324885,613,96777.95269168026,528,16182576,30648.81818181818,436,32889961,75435.69036697247,7258
WHITTINGTON,2021,436000,672644651,11497,58506.10167869879,9918,130523243,13160.238253680178,9757,569611110,58379.73864917495,3219
WHITTLESEA,2021,615000,360515408,5351,67373.46439917773,4554,79306409,17414.67039964866,4287,281758768,65723.99533473291,3757
WILLIAMS LANDING,2021,680000,431633208,6135,70355.86112469438,5245,94961956,18105.234699714012,5285,389965792,73787.28325449386,3027
WILLIAMSTOWN,2021,1402500,241174380,3760,64142.12234042553,3232,49524620,15323.211633663366,3037,190638401,62771.94632861376,5351
WILLIAMSTOWN NORTH,2021,1300000,1095054367,10236,106980.69236029699,8723,310809161,35630.99403874814,7954,750717369,94382.36975106865,3016
WIMBLEDON HEIGHTS,2021,505000,299525857,5509,54370.27718,4396,59163863,13458.567561419472,3847,206551759,53691.645178060826,3922
WINCHELSEA,2021,517000,112423174,1886,59609.31813361612,1559,22977159,14738.395766516998,1454,85111516,58536.118294360385,3241
WINDSOR,2021,1805000,1124023907,12513,89828.49092943339,11212,286605318,25562.37227970032,10889,893704090,82074.02791808247,4030
WINTER VALLEY,2021,525000,,,,,,,,,,
WODONGA,2021,395000,1216872930,20652,58922.764381173736,17772,236083825,13284.032466801711,17337,1015169487,58555.08375,3690
WOLLERT,2021,592000,860835667,14406,59755.35658753297,12502,166287425,13300.865861462165,12475,772331402,61910.332825651305,3750
WONGA PARK,2021,888000,294474707,2625,112180.84076190476,2226,87849788,39465.31356693621,1989,156356946,78610.83257918552,3115
WONTHAGGI,2021,489000,326675125,6298,51869.66100349317,5119,61131668,11942.111349873023,4665,240631855,51582.39121114684,3995
WOODEND,2021,726500,2107303034,35920,58666.565534521156,30899,403437439,13056.650344671349,30785,1868949306,60709.73870391424,4305
WOOLAMAI WATERS,2021,625000,,,,,,,,,,
WOORI YALLOCK,2021,550000,554614943,8835,62774.753027730614,7535,115765717,15363.731519575314,7082,429988223,60715.64854560859,3139
WURRUK,2021,405000,555589644,8603,64580.91874927351,7293,119035286,16321.854655148773,6964,441693973,63425.32639287766,3850
WY YUNG,2021,639000,,,,,,,,,,
WYCHEPROOF,2021,205000,22306922,438,50929.045662100456,359,4375480,12187.966573816157,282,14779200,52408.51063829787,3527
WYNDHAM VALE,2021,515000,1323940404,20746,63816.65882579774,17986,266794993,14833.481207605915,18635,1239248279,66501.11505,3024
YACKANDANDAH,2021,712500,83058331,1281,64838.665886026545,1071,17859098,16675.16153127918,956,60262473,63036.05962343096,3749
YALLAMBIE,2021,900000,657589268,8447,77848.85379424648,7102,156897194,22091.973246972684,6846,538164882,78610.12007011393,3085
YALLOURN NORTH,2021,224000,,,,,,,,,,
YARRA GLEN,2021,650000,175184313,2528,69297.59216772152,2131,39378148,18478.71797278273,1942,129905409,66892.58959835222,3775
YARRA JUNCTION,2021,601500,115199405,2059,55949.201068479844,1668,22343525,13395.398681055156,1633,93627434,57334.619718309856,3797
YARRAGON,2021,447500,77243084,1301,59372.086087624906,1077,15653369,14534.233054781802,974,60319414,61929.583162217656,3823
YARRAM,2021,343000,110189544,2259,48778.01859229748,1778,20581561,11575.681102362205,1610,86534369,53748.05528,3971
YARRAVILLE,2021,1017500,902192778,9573,94243.47414603573,8584,231327433,26948.67579217148,8354,767340983,91853.12221690208,3013
YARRAWONGA,2021,539500,814219769,11340,71800.68509700177,10233,173214855,16927.08443271768,10290,746851124,72580.28415937803,830
YEA,2021,515000,101388085,1835,55252.362397820165,1452,20141265,13871.394628099173,1272,73010446,57398.14937106918,3717
YINNAR,2021,465000,75611316,1140,66325.71578947369,959,16784987,17502.593326381648,916,65811923,71847.07751091704,3869
