locality,year,price,total_taxable_income,num_taxable_income,taxable_income_per_person,num_tax_payers,total_tax,tax_per_person,num_salary_earners,total_salary,salary_per_person,postcode
MITCHAM,2021,1205000,964726802,10049,96002.26908150065,8583,262950079,30636.150413608295,7227,586561207,81162.47502421476,5062
MITCHELL PARK,2021,355000,697784875,12153,57416.67695219287,10431,131852943,12640.48921484038,10173,604207334,59393.23051213998,5043
MOE,2021,277000,620697059,10866,57122.86572795877,9063,121444834,13400.069954761117,8942,536850612,60036.97294,3825
MONBULK,2021,775500,138989149,2132,65191.90853658537,1752,30625282,17480.18378995434,1624,99815242,61462.587438423645,3793
MONT ALBERT,2021,1988000,1332527940,12479,106781.62833560382,10316,385975655,37415.243796044975,9146,893586171,97702.40225235076,3127
MONT ALBERT NORTH,2021,1350000,800244132,10837,73843.69585678693,8727,193405220,22161.707345021197,8380,618033603,73751.02661097852,3129
MONTMORENCY,2021,910000,414683374,5524,75069.40152063721,4659,95915725,20587.191457394292,4373,337681528,77219.64966841985,3094
MONTROSE,2021,762500,297422560,4698,63308.33546189868,3968,63111387,15905.087449596775,3851,258874533,67222.67801,4413
MOONEE PONDS,2021,1411000,1014093810,10822,93706.691,9493,267303252,28157.93237,9053,785135594,86726.56511653596,3039
MOORABBIN,2021,1219500,303929343,4015,75698.46650062267,3442,70208377,20397.552876234746,3238,258452976,79818.70784434836,3189
MOOROOLBARK,2021,750000,900979976,13800,65288.40405797101,11890,187625094,15780.07518923465,11650,766845941,65823.68592274678,3138
MOOROOPNA,2021,267500,259204978,5062,51206.04069537732,4292,45410143,10580.182432432432,4234,225045232,53151.92064241852,3629
MORDIALLOC,2021,1088000,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
MORNINGTON,2021,950000,931108030,11268,82632.94550940717,10254,214568641,20925.359957089917,10504,874015275,83207.85177,4825
MORTLAKE,2021,273000,1621864062,17375,93344.69421582735,14609,437416205,29941.55691696899,13508,1188643806,87995.54382588096,2137
MORWELL,2021,225000,470161603,8405,55938.322784057105,6959,90586797,13017.214686018106,6853,392374007,57255.80140084634,3840
MOUNT BEAUTY,2021,418000,34864885,675,51651.68148148148,550,6537227,11885.867272727273,521,26358058,50591.28214971209,3699
MOUNT CLEAR,2021,515000,,,,,,,,,,
MOUNT DANDENONG,2021,803500,54460766,713,76382.56100981767,581,13180637,22686.122203098108,535,41829462,78185.91028037384,3767
MOUNT DUNEED,2021,594500,959446395,14363,66799.86040520783,12854,196773226,15308.326279757273,12934,864112140,66809.35054894078,3217
MOUNT ELIZA,2021,1560000,1211213721,11404,106209.55112241319,9507,350102608,36825.77132639108,8093,704216410,87015.49610774743,3930
MOUNT EVELYN,2021,741000,376109768,5891,63844.80869,5017,77789085,15505.099661152082,4873,311913675,64008.552226554486,3796
MOUNT HELEN,2021,700000,,,,,,,,,,
MOUNT MACEDON,2021,610000,109155458,859,127072.71012805589,716,33805840,47214.86033519553,608,62949467,103535.30756578948,3441
MOUNT MARTHA,2021,1777500,1002411426,11962,83799.65106169537,9895,258671562,26141.643456291054,8595,623739754,72570.07027341478,3934
MOUNT PLEASANT,2021,410000,717810791,9904,72476.85692649435,8351,166026890,19881.078912705067,7945,553054842,69610.42693517936,2519
MOUNT WAVERLEY,2021,1440000,1726002147,22547,76551.29937463964,18238,425172665,23312.461070292797,16658,1260696695,75681.15590106856,3149
MULGRAVE,2021,930000,805642782,11888,67769.41302153432,9867,178600662,18100.806932198237,9548,654062774,68502.59467951403,3170
MURCHISON,2021,425000,41758157,789,52925.42078580482,643,7817553,12157.936236391914,599,32216203,53783.310517529215,3610
MURRUMBEENA,2021,1512500,1720129219,21592,79665.11758984809,18575,414147552,22295.965114401075,18104,1406855689,77709.66024083075,3163
MURTOA,2021,128000,29191620,512,57014.88281,420,6267571,14922.788095238095,381,19096517,50122.09186351706,3390
MYRTLEFORD,2021,425000,153531846,2742,55992.64989059081,2281,30073513,13184.354669004822,2145,117743737,54892.185081585085,3737
NAGAMBIE,2021,530000,100813993,1589,63444.92952,1358,21823129,16070.050810014727,1210,72744419,60119.354545454546,3608
NARRE WARREN,2021,644500,2033666111,34010,59796.122052337545,28889,403327854,13961.295095018866,28911,1746342218,60404.07519629207,3805
NARRE WARREN NORTH,2021,1275000,427460877,5350,79899.22934579439,4517,105743631,23410.14633606376,4032,279328882,69277.99652777778,3804
NARRE WARREN SOUTH,2021,700000,2033666111,34010,59796.122052337545,28889,403327854,13961.295095018866,28911,1746342218,60404.07519629207,3805
NATHALIA,2021,313500,63021012,1192,52869.976510067114,973,13082641,13445.674203494347,902,48112853,53340.19179600887,3638
NEERIM SOUTH,2021,537500,74881534,1146,65341.65270506108,936,17088200,18256.62393162393,865,51974741,60086.405780346824,3831
NELSON,2021,270000,2384246513,30385,78467.87932,26984,547390506,20285.743625852356,27241,2104847682,77267.63635696193,2765
NERRINA,2021,602500,,,,,,,,,,
NEW GISBORNE,2021,732500,118223962,1493,79185.50703281982,1250,28553333,22842.6664,1195,94548297,79119.91380753138,3438
NEWBOROUGH,2021,350000,620697059,10866,57122.86572795877,9063,121444834,13400.069954761117,8942,536850612,60036.97294,3825
NEWCOMB,2021,510000,672644651,11497,58506.10167869879,9918,130523243,13160.238253680178,9757,569611110,58379.73864917495,3219
NEWINGTON,2021,742500,1113238561,15217,73157.55806,12934,251518346,19446.292407607856,13000,1014230847,78017.75746153847,2127
NEWLANDS ARM,2021,619000,,,,,,,,,,
NEWPORT,2021,1150000,718787177,6666,107828.8594359436,5618,210077326,37393.614453542184,4928,432757890,87816.13027597402,2106
NEWSTEAD,2021,475000,414198789,7728,53597.15178571428,6496,78966445,12156.164562807882,6057,324525495,53578.58593363051,2360
NEWTOWN (GREATER GEELONG),2021,925000,,,,,,,,,,
NHILL,2021,135000,,,,,,,,,,
NICHOLS POINT,2021,540000,113582859,1796,63242.12639198218,1540,23651312,15357.994805194805,1417,88862273,62711.55469301341,3501
NIDDRIE,2021,1000000,755018651,10031,75268.53264878875,8710,172542612,19809.714351320323,8313,627389954,75470.94358234091,3042
NOBLE PARK,2021,731000,1125561334,22334,50396.76430554312,18621,193634820,10398.73368777187,19122,1011447337,52894.43243384583,3174
NOBLE PARK NORTH,2021,710000,1125561334,22334,50396.76430554312,18621,193634820,10398.73368777187,19122,1011447337,52894.43243384583,3174
NORLANE,2021,417500,568702266,11564,49178.68090626081,9836,94370874,9594.436152907687,10027,501403121,50005.29779595093,3214
NORTH BENDIGO,2021,392500,1584577792,24249,65346.10878799126,20497,346880747,16923.488656876616,19581,1180913683,60309.16107451101,3550
NORTH GEELONG,2021,650000,826498971,12706,65047.92782937195,10980,172723461,15730.734153005464,10604,682809480,64391.68992832893,3215
NORTH MELBOURNE,2021,1300500,706491273,9612,73500.96473158551,7850,167802211,21376.077834394906,8332,586082095,70341.10597695631,3051
NORTH WONTHAGGI,2021,446000,326675125,6298,51869.66100349317,5119,61131668,11942.111349873023,4665,240631855,51582.39121114684,3995
NORTHCOTE,2021,1459500,1589274492,16335,97292.59210284665,14406,421820461,29280.88719977787,13861,1229588618,88708.50717841425,3070
NOTTING HILL,2021,850000,691839399,13761,50275.372356660126,10486,129703257,12369.183387373641,11842,603475886,50960.63891234589,3168
NUMURKAH,2021,315000,155139442,2887,53737.25043297541,2441,28895433,11837.539123310118,2248,123777374,55061.109430604985,3636
NUNAWADING,2021,1000000,942749547,13830,68166.99544468547,11303,209869266,18567.57197204282,10906,781198026,71630.11424903723,3131
NYAH WEST,2021,150000,15845898,329,48163.823708206684,279,2684984,9623.598566308243,266,12314288,46294.31578947369,3595
NYORA,2021,710000,54713427,929,58894.969860064586,808,10613359,13135.345297029702,735,44615343,60701.14693877551,3987
OAK PARK,2021,960000,1357997394,21499,63165.60742,18427,276457844,15002.867748412655,18252,1198895237,65685.69126671049,3046
OAKLEIGH,2021,1696000,1132590429,15357,73750.76050009768,13093,260346026,19884.367677384864,12899,949248010,73590.82176912938,3166
OAKLEIGH EAST,2021,1000000,1132590429,15357,73750.76050009768,13093,260346026,19884.367677384864,12899,949248010,73590.82176912938,3166
OAKLEIGH SOUTH,2021,1129000,405710505,5937,68335.94492167761,4984,88603191,17777.52628410915,4952,349643059,70606.43356,3167
OCEAN GROVE,2021,862500,,,,,,,,,,
OFFICER,2021,635000,,,,,,,,,,
OFFICER SOUTH,2021,535000,,,,,,,,,,
OLINDA,2021,1050000,43382437,790,54914.47721518987,626,8940186,14281.447284345048,555,33774629,60855.187387387385,2849
OMEO,2021,270000,,,,,,,,,,
ORBOST,2021,232500,,,,,,,,,,
ORMOND,2021,1647000,1786003131,20691,86317.87400318979,17555,453565884,25836.848988892052,16768,1424123430,84931.02516698473,3204
OSBORNE,2021,925000,43664282,737,59245.97286295794,620,9428129,15206.659677419355,498,26957902,54132.333333333336,2656
OUYEN,2021,123000,,,,,,,,,,
PAKENHAM,2021,575000,,,,,,,,,,
PARADISE BEACH,2021,301000,,,,,,,,,,
PARK ORCHARDS,2021,1800500,,,,,,,,,,
PARKDALE,2021,1365000,,,,,,,,,,
PARKVILLE,2021,1546000,,,,,,,,,,
PASCOE VALE,2021,1000000,,,,,,,,,,
PASCOE VALE SOUTH,2021,1212500,,,,,,,,,,
PATTERSON GARDENS,2021,1145000,,,,,,,,,,
PATTERSON LAKES,2021,1317000,,,,,,,,,,
PAYNESVILLE,2021,399000,,,,,,,,,,
PEARCEDALE,2021,720000,,,,,,,,,,
PETERBOROUGH,2021,632500,,,,,,,,,,
PIONEER BAY,2021,319000,,,,,,,,,,
PLENTY,2021,1520000,,,,,,,,,,
POINT COOK,2021,710000,,,,,,,,,,
POINT LONSDALE,2021,1000000,,,,,,,,,,
POREPUNKAH,2021,769500,,,,,,,,,,
PORT ALBERT,2021,358000,,,,,,,,,,
PORT FAIRY,2021,755000,,,,,,,,,,
PORT FRANKLIN,2021,150000,,,,,,,,,,
PORT MELBOURNE,2021,1455000,,,,,,,,,,
PORT WELSHPOOL,2021,452500,,,,,,,,,,
PORTARLINGTON,2021,752500,,,,,,,,,,
PORTLAND,2021,315000,,,,,,,,,,
PORTLAND NORTH,2021,589500,,,,,,,,,,
PORTSEA,2021,2585000,,,,,,,,,,
PRAHRAN,2021,1560000,,,,,,,,,,
PRESTON,2021,1082500,,,,,,,,,,
PRINCES HILL,2021,1970000,,,,,,,,,,
PYRAMID HILL,2021,121500,,,,,,,,,,
QUARRY HILL,2021,470000,,,,,,,,,,
QUEENSCLIFF,2021,1655000,,,,,,,,,,
RAINBOW,2021,105000,,,,,,,,,,
RAYMOND ISLAND,2021,405000,,,,,,,,,,
RED CLIFFS,2021,272500,,,,,,,,,,
REDAN,2021,426500,,,,,,,,,,
RESEARCH,2021,1067500,,,,,,,,,,
RESERVOIR,2021,832500,,,,,,,,,,
RHYLL,2021,1132500,,,,,,,,,,
RICHMOND,2021,1330000,,,,,,,,,,
RIDDELLS CREEK,2021,728500,,,,,,,,,,
RINGWOOD,2021,950000,,,,,,,,,,
RINGWOOD EAST,2021,955000,,,,,,,,,,
RINGWOOD NORTH,2021,1075000,,,,,,,,,,
RIPPLESIDE,2021,694000,,,,,,,,,,
ROBINVALE,2021,300000,,,,,,,,,,
ROCHESTER,2021,270000,,,,,,,,,,
ROCKBANK,2021,565000,,,,,,,,,,
ROMSEY,2021,714000,,,,,,,,,,
ROSANNA,2021,1356500,,,,,,,,,,
ROSEBUD,2021,642500,,,,,,,,,,
ROSEBUD SOUTH,2021,820000,,,,,,,,,,
ROSEDALE,2021,335000,,,,,,,,,,
ROWVILLE,2021,887500,,,,,,,,,,
ROXBURGH PARK,2021,569500,,,,,,,,,,
RUPANYUP,2021,114500,,,,,,,,,,
RUSHWORTH,2021,332500,,,,,,,,,,
RUTHERGLEN,2021,365000,,,,,,,,,,
RYE,2021,954500,,,,,,,,,,
SAFETY BEACH,2021,945000,,,,,,,,,,
SAILORS GULLY,2021,294000,,,,,,,,,,
SALE,2021,365000,,,,,,,,,,
SAN REMO,2021,755000,,,,,,,,,,
SANCTUARY LAKES,2021,681000,,,,,,,,,,
SANDHURST,2021,860000,,,,,,,,,,
SANDRINGHAM,2021,1890000,,,,,,,,,,
SANDY POINT,2021,760000,,,,,,,,,,
SASSAFRAS,2021,825000,,,,,,,,,,
SAWMILL SETTLEMENT,2021,540000,,,,,,,,,,
SCORESBY,2021,880000,,,,,,,,,,
SEA LAKE,2021,155000,,,,,,,,,,
SEABROOK,2021,670000,,,,,,,,,,
SEAFORD,2021,810000,,,,,,,,,,
SEAHOLME,2021,1380000,,,,,,,,,,
SEASPRAY,2021,280000,,,,,,,,,,
SEBASTOPOL,2021,374000,,,,,,,,,,
SEDDON,2021,1050000,,,,,,,,,,
SELBY,2021,889000,,,,,,,,,,
SEVILLE,2021,710000,,,,,,,,,,
SEVILLE EAST,2021,545000,,,,,,,,,,
SEYMOUR,2021,381000,,,,,,,,,,
SHEPPARTON,2021,339500,,,,,,,,,,
SHEPPARTON NORTH,2021,362500,,,,,,,,,,
SHOREHAM,2021,1850000,,,,,,,,,,
SILVERLEAVES,2021,857000,,,,,,,,,,
SKENES CREEK,2021,735000,,,,,,,,,,
SKIPTON,2021,224500,,,,,,,,,,
SKYE,2021,691000,,,,,,,,,,
SMITHS BEACH,2021,800000,,,,,,,,,,
SMYTHESDALE,2021,,,,,,,,,,,
SOLDIERS HILL,2021,425000,,,,,,,,,,
SOMERS,2021,1547000,,,,,,,,,,
SOMERVILLE,2021,730000,,,,,,,,,,
SORRENTO,2021,1725000,,,,,,,,,,
SOUTH DUDLEY,2021,419500,,,,,,,,,,
SOUTH GEELONG,2021,1120000,,,,,,,,,,
SOUTH KINGSVILLE,2021,1080000,,,,,,,,,,
SOUTH MELBOURNE,2021,1400000,,,,,,,,,,
SOUTH MORANG,2021,667000,,,,,,,,,,
SOUTH YARRA,2021,1500000,,,,,,,,,,
SPOTSWOOD,2021,1088500,,,,,,,,,,
SPRING GULLY,2021,495000,,,,,,,,,,
SPRINGVALE,2021,860000,,,,,,,,,,
SPRINGVALE SOUTH,2021,770000,,,,,,,,,,
ST ALBANS,2021,630000,,,,,,,,,,
ST ALBANS PARK,2021,502500,,,,,,,,,,
ST ANDREWS BEACH,2021,1350000,,,,,,,,,,
ST ARNAUD,2021,207500,,,,,,,,,,
ST HELENA,2021,972000,,,,,,,,,,
ST KILDA,2021,1380500,,,,,,,,,,
ST KILDA EAST,2021,1485000,,,,,,,,,,
ST KILDA WEST,2021,1560000,,,,,,,,,,
ST LEONARDS,2021,650000,,,,,,,,,,
STANHOPE,2021,254500,,,,,,,,,,
STAWELL,2021,261000,,,,,,,,,,
STRATFORD,2021,338000,,,,,,,,,,
STRATHDALE,2021,605000,,,,,,,,,,
STRATHFIELDSAYE,2021,571500,,,,,,,,,,
STRATHMERTON,2021,265000,,,,,,,,,,
STRATHMORE,2021,1350000,,,,,,,,,,
STRATHMORE HEIGHTS,2021,1060000,,,,,,,,,,
STRATHTULLOH,2021,556000,,,,,,,,,,
STUDFIELD,2021,1051000,,,,,,,,,,
SUNBURY,2021,625000,,,,,,,,,,
SUNDERLAND BAY,2021,695000,,,,,,,,,,
SUNNYCLIFFS,2021,330000,,,,,,,,,,
SUNSET STRIP,2021,545000,,,,,,,,,,
SUNSHINE,2021,770000,,,,,,,,,,
SUNSHINE NORTH,2021,800000,,,,,,,,,,
SUNSHINE WEST,2021,722500,,,,,,,,,,
SURF BEACH,2021,690000,,,,,,,,,,
SURREY HILLS,2021,1967500,,,,,,,,,,
SWAN HILL,2021,347000,,,,,,,,,,
SWAN REACH,2021,472500,,,,,,,,,,
SYDENHAM,2021,600000,,,,,,,,,,
SYNDAL,2021,1373000,,,,,,,,,,
TALLANGATTA,2021,272500,,,,,,,,,,
TARNEIT,2021,580000,4619013832,78627,58745.89939842548,66840,890718563,13326.130505685218,67350,4161059645,61782.62279138827,3029
TATURA,2021,345000,184513637,3245,56860.90508474576,2719,36651298,13479.69768297168,2528,154559854,61139.182753164554,3616
TAWONGA SOUTH,2021,455000,38617112,617,62588.512155591576,496,8266615,16666.5625,468,27824518,59454.09829059829,3698
TAYLORS HILL,2021,760000,1876523258,29563,63475.400263843316,25370,383263281,15106.948403626331,25647,1655431851,64546.80278395134,3037
TAYLORS LAKES,2021,788500,1051135680,16242,64717.13335796084,13649,222329238,16289.049600703349,13291,878071119,66065.09058761568,3038
TECOMA,2021,740000,422813361,5598,75529.36066452305,4763,99916174,20977.571698509342,4641,329117988,70915.31738849386,3160
TEMPLESTOWE,2021,1393000,948876996,10627,89289.26282111602,8614,259833200,30164.058509403298,7262,561791505,77360.43858441201,3106
TEMPLESTOWE LOWER,2021,1290000,625812812,8440,74148.43744,6830,150458682,22029.089604685214,6133,461333976,75221.58422,3107
